transaction_id,transaction_date,customer_id,store_id,product_id,quantity,unit_price,total_amount,promotion,payment_method
T00000057,2023-07-18 22:49:52,C000241,S0008,P00186,2,15.65,31.3,False,card
T00000058,2023-02-26 03:52:22,C000152,S0017,P00133,1,8.58,8.58,False,cash
T00000059,2023-09-28 14:07:55,C000149,S0014,P00067,1,8.2,8.2,False,mobile
T00000060,2023-09-06 15:06:57,C000018,S0012,P00151,1,55.09,55.09,False,card
T00000061,2023-12-02 19:12:12,C000411,S0013,P00182,1,15.96,15.96,False,card
T00000062,2023-09-29 02:14:32,C000171,S0010,P00197,1,8.1,8.1,False,cash
T00000063,2023-05-14 10:59:25,C000208,S0008,P00166,1,4.63,4.63,False,insurance
T00000064,2023-12-19 04:09:55,C000334,S0004,P00065,2,1.25,2.5,True,mobile
T00000065,2023-05-30 13:11:19,C000261,S0015,P00168,1,17.8,17.8,False,card
T00000066,2023-04-29 14:24:37,C000284,S0019,P00079,3,14.36,43.08,False,cash
T00000067,2023-11-26 14:45:38,C000067,S0015,P00130,1,15.4,15.4,True,cash
T00000068,2023-05-15 20:20:09,C000132,S0018,P00151,1,56.82,56.82,False,card
T00000069,2023-01-28 18:56:02,C000112,S0017,P00055,1,1.98,1.98,True,card
T00000070,2023-06-20 22:02:22,C000422,S0016,P00042,1,17.06,17.06,False,insurance
T00000071,2023-10-17 15:03:37,C000191,S0019,P00092,1,11.64,11.64,False,card
T00000072,2023-03-10 23:13:18,C000038,S0018,P00052,1,3.16,3.16,False,insurance
T00000073,2023-06-18 12:14:56,C000332,S0017,P00175,1,10.38,10.38,False,mobile
T00000074,2023-02-17 06:59:39,C000115,S0011,P00079,1,13.35,13.35,False,insurance
T00000075,2023-09-07 21:04:25,C000355,S0003,P00016,2,5.08,10.16,True,cash
T00000076,2023-06-23 03:45:30,C000141,S0013,P00038,1,22.9,22.9,False,card
T00000077,2023-05-01 04:35:42,C000398,S0011,P00166,1,4.79,4.79,False,cash
T00000078,2023-03-24 14:16:48,C000039,S0010,P00066,1,4.45,4.45,True,card
T00000079,2023-07-25 11:28:16,C000484,S0020,P00086,1,1.32,1.32,True,mobile
T00000080,2023-09-01 19:29:42,C000046,S0019,P00029,3,7.8,23.4,True,mobile
T00000081,2023-12-09 06:30:51,C000249,S0005,P00040,1,25.05,25.05,False,card
T00000082,2023-06-09 02:57:33,C000334,S0013,P00084,1,8.24,8.24,False,insurance
T00000083,2023-02-28 11:46:18,C000401,S0004,P00072,1,11.5,11.5,False,insurance
T00000084,2023-10-31 02:16:37,C000082,S0015,P00161,2,12.52,25.04,False,card
T00000085,2023-08-18 05:37:16,C000031,S0004,P00023,1,35.16,35.16,True,mobile
T00000086,2023-09-12 21:30:58,C000327,S0017,P00013,1,2.15,2.15,False,insurance
T00000087,2023-02-05 09:22:18,C000490,S0015,P00070,5,2.77,13.85,False,cash
T00000088,2023-04-24 16:50:06,C000093,S0010,P00045,1,4.97,4.97,False,cash
T00000089,2023-10-07 11:53:04,C000429,S0002,P00196,2,5.58,11.16,True,cash
T00000090,2023-10-30 22:37:18,C000162,S0001,P00136,4,4.14,16.56,False,card
T00000091,2023-06-08 10:03:10,C000338,S0011,P00115,2,2.87,5.74,False,card
T00000092,2023-10-20 22:25:17,C000311,S0015,P00091,4,2.96,11.84,False,mobile
T00000093,2023-11-03 09:01:13,C000064,S0016,P00124,4,6.18,24.72,False,cash
T00000094,2023-05-22 01:00:40,C000491,S0001,P00087,2,33.34,66.68,False,cash
T00000095,2023-11-23 21:41:37,C000370,S0018,P00023,5,33.71,168.55,True,cash
T00000096,2023-04-15 22:50:03,C000193,S0016,P00129,2,21.27,42.54,False,card
T00000097,2023-03-29 04:46:36,C000218,S0006,P00109,3,1.45,4.35,False,insurance
T00000098,2023-09-06 10:16:51,C000187,S0014,P00097,1,7.66,7.66,False,insurance
T00000099,2023-08-20 18:45:05,C000077,S0016,P00093,1,5.35,5.35,False,card
T00000100,2023-02-20 20:52:39,C000316,S0004,P00004,1,5.25,5.25,False,insurance
T00000101,2023-10-31 02:47:18,C000397,S0017,P00090,1,6.87,6.87,False,insurance
T00000102,2023-03-14 18:23:53,C000075,S0011,P00110,1,7.64,7.64,False,insurance
T00000103,2023-10-20 23:35:55,C000478,S0018,P00020,1,3.6,3.6,False,mobile
T00000104,2023-01-03 16:19:00,C000265,S0002,P00011,2,5.5,11.0,False,cash
T00000105,2023-10-18 01:13:01,C000334,S0016,P00017,5,34.47,172.35,False,cash
T00000106,2023-10-14 10:34:17,C000068,S0002,P00106,1,6.46,6.46,False,cash
T00000107,2023-10-12 01:15:46,C000030,S0009,P00168,1,14.9,14.9,True,card
T00000108,2023-08-31 00:08:14,C000157,S0020,P00091,1,2.28,2.28,True,card
T00000109,2023-06-21 15:36:38,C000393,S0001,P00061,1,5.14,5.14,True,card
T00000110,2023-09-14 16:19:29,C000203,S0008,P00111,1,7.06,7.06,False,card
T00000111,2023-04-11 20:56:04,C000474,S0013,P00047,1,4.16,4.16,False,cash
T00000112,2023-10-12 04:26:56,C000037,S0010,P00071,3,5.11,15.33,False,insurance
T00000113,2023-07-22 06:07:55,C000497,S0017,P00086,1,1.88,1.88,False,mobile
T00000114,2023-06-17 01:05:18,C000187,S0012,P00109,1,1.47,1.47,False,card
T00000115,2023-07-04 00:58:34,C000453,S0004,P00012,1,10.89,10.89,False,mobile
T00000116,2023-07-27 00:31:23,C000157,S0011,P00170,1,24.57,24.57,False,insurance
T00000117,2023-01-14 13:31:24,C000314,S0012,P00192,4,11.58,46.32,True,insurance
T00000118,2023-02-20 21:15:59,C000153,S0019,P00137,1,7.52,7.52,False,cash
T00000119,2023-03-31 08:31:24,C000474,S0017,P00064,3,5.81,17.43,True,cash
T00000120,2023-02-11 16:32:05,C000416,S0019,P00195,1,7.32,7.32,False,mobile
T00000121,2023-06-10 00:27:51,C000124,S0006,P00180,1,9.09,9.09,True,cash
T00000122,2023-09-01 07:10:06,C000032,S0004,P00196,5,7.26,36.3,False,mobile
T00000123,2023-08-27 05:05:26,C000225,S0001,P00198,1,2.81,2.81,False,insurance
T00000124,2023-06-21 11:29:47,C000296,S0018,P00020,4,3.83,15.32,False,mobile
T00000125,2023-11-08 05:58:45,C000171,S0012,P00094,1,10.04,10.04,False,cash
T00000126,2023-07-25 17:54:10,C000055,S0012,P00081,3,8.78,26.34,False,mobile
T00000127,2023-01-29 19:52:06,C000460,S0011,P00180,1,11.63,11.63,False,cash
T00000128,2023-10-06 11:01:48,C000108,S0013,P00068,10,3.96,39.6,False,card
T00000129,2023-07-29 03:42:40,C000479,S0006,P00021,1,7.9,7.9,False,cash
T00000130,2023-08-20 00:53:57,C000385,S0009,P00154,1,21.36,21.36,False,card
T00000131,2023-07-25 19:06:05,C000432,S0015,P00076,1,3.24,3.24,False,card
T00000132,2023-07-21 12:04:11,C000356,S0014,P00177,1,12.14,12.14,False,card
T00000133,2023-02-02 23:11:17,C000495,S0016,P00066,1,6.57,6.57,False,mobile
T00000134,2023-07-23 13:14:02,C000125,S0008,P00165,1,6.97,6.97,False,mobile
T00000135,2023-10-17 08:21:24,C000038,S0001,P00156,1,2.51,2.51,False,cash
T00000136,2023-04-21 15:18:29,C000175,S0013,P00132,2,6.66,13.32,True,mobile
T00000137,2023-08-08 10:23:42,C000474,S0009,P00136,2,3.65,7.3,True,card
T00000138,2023-01-12 05:13:28,C000311,S0018,P00014,2,3.82,7.64,False,mobile
T00000139,2023-05-07 11:45:11,C000137,S0011,P00149,1,7.28,7.28,False,insurance
T00000140,2023-06-08 23:09:47,C000103,S0014,P00017,4,33.63,134.52,False,insurance
T00000141,2023-12-24 17:12:10,C000090,S0006,P00120,2,3.61,7.22,False,cash
T00000142,2023-03-20 02:36:42,C000111,S0013,P00044,1,32.84,32.84,True,cash
T00000143,2023-04-11 15:55:34,C000247,S0015,P00178,3,4.09,12.27,False,card
T00000144,2023-05-29 16:54:22,C000261,S0007,P00168,1,16.99,16.99,False,cash
T00000145,2023-12-28 07:55:37,C000059,S0018,P00018,2,4.55,9.1,False,cash
T00000146,2023-11-07 15:19:46,C000388,S0012,P00155,5,2.98,14.9,False,card
T00000147,2023-01-13 15:04:39,C000134,S0002,P00153,5,3.31,16.55,False,cash
T00000148,2023-03-27 03:41:43,C000446,S0015,P00168,3,16.03,48.09,False,insurance
T00000149,2023-10-27 02:08:53,C000480,S0019,P00120,1,4.14,4.14,False,card
T00000150,2023-01-22 05:19:57,C000126,S0004,P00122,1,13.93,13.93,False,card
T00000151,2023-11-08 11:08:26,C000385,S0007,P00023,4,43.2,172.8,False,card
T00000152,2023-04-13 10:10:11,C000222,S0010,P00098,2,6.39,12.78,False,cash
T00000153,2023-12-01 00:36:33,C000260,S0013,P00091,3,2.91,8.73,False,mobile
T00000154,2023-04-17 20:50:06,C000248,S0004,P00162,2,3.01,6.02,False,insurance
T00000155,2023-06-08 02:11:30,C000106,S0004,P00020,1,3.58,3.58,False,card
T00000156,2023-08-29 22:30:10,C000407,S0008,P00109,4,1.31,5.24,False,cash
T00000157,2023-02-15 23:11:18,C000261,S0015,P00067,1,8.04,8.04,False,cash
T00000158,2023-07-22 18:13:58,C000204,S0011,P00111,1,6.08,6.08,False,card
T00000159,2023-07-03 19:48:55,C000052,S0006,P00190,1,6.93,6.93,False,insurance
T00000160,2023-10-13 08:08:05,C000102,S0015,P00054,1,3.85,3.85,False,card
T00000161,2023-12-29 13:59:24,C000183,S0007,P00073,1,38.36,38.36,False,card
T00000162,2023-08-30 19:26:35,C000248,S0008,P00021,1,7.1,7.1,False,mobile
T00000163,2023-05-29 22:39:10,C000219,S0011,P00075,1,7.36,7.36,False,mobile
T00000164,2023-05-28 22:11:44,C000078,S0002,P00038,3,23.55,70.65,False,insurance
T00000165,2023-06-02 03:17:15,C000187,S0016,P00159,1,5.84,5.84,False,mobile
T00000166,2023-10-24 07:16:56,C000038,S0004,P00047,1,4.34,4.34,False,cash
T00000167,2023-04-27 22:08:26,C000175,S0008,P00078,2,5.99,11.98,False,mobile
T00000168,2023-03-02 18:40:31,C000261,S0002,P00129,1,25.43,25.43,False,mobile
T00000169,2023-05-02 16:22:12,C000295,S0015,P00013,1,1.65,1.65,True,mobile
T00000170,2023-01-09 06:24:45,C000491,S0014,P00109,2,1.35,2.7,False,mobile
T00000171,2023-02-08 15:15:41,C000160,S0005,P00071,1,5.42,5.42,False,cash
T00000172,2023-02-02 18:39:29,C000194,S0014,P00140,1,12.13,12.13,False,card
T00000173,2023-10-08 20:16:55,C000220,S0016,P00010,1,5.32,5.32,False,insurance
T00000174,2023-09-20 22:31:53,C000152,S0020,P00030,3,10.85,32.55,True,mobile
T00000175,2023-09-11 14:59:23,C000445,S0003,P00040,1,23.63,23.63,False,mobile
T00000176,2023-06-18 02:57:34,C000454,S0001,P00093,3,4.45,13.35,False,cash
T00000177,2023-09-19 00:13:24,C000409,S0008,P00200,1,7.51,7.51,False,mobile
T00000178,2023-02-28 16:52:13,C000359,S0003,P00133,1,8.71,8.71,False,insurance
T00000179,2023-11-24 19:49:52,C000092,S0004,P00200,1,7.19,7.19,False,mobile
T00000180,2023-07-02 09:07:38,C000474,S0013,P00083,1,19.85,19.85,False,card
T00000181,2023-12-08 10:49:01,C000105,S0013,P00079,1,14.01,14.01,False,insurance
T00000182,2023-02-25 10:35:54,C000405,S0006,P00135,1,12.56,12.56,False,card
T00000183,2023-07-01 00:40:32,C000391,S0014,P00045,3,4.44,13.32,False,mobile
T00000184,2023-09-11 11:03:17,C000079,S0001,P00097,4,8.09,32.36,False,cash
T00000185,2023-06-30 09:47:15,C000156,S0005,P00184,1,5.84,5.84,False,card
T00000186,2023-06-12 09:37:16,C000010,S0014,P00081,1,8.03,8.03,False,mobile
T00000187,2023-03-02 12:02:46,C000432,S0010,P00154,5,22.65,113.25,False,insurance
T00000188,2023-05-19 16:36:05,C000186,S0001,P00084,1,9.35,9.35,False,insurance
T00000189,2023-03-28 21:51:43,C000208,S0016,P00105,3,4.39,13.17,False,card
T00000190,2023-04-20 18:00:34,C000004,S0019,P00118,1,6.49,6.49,False,mobile
T00000191,2023-09-06 20:48:33,C000160,S0017,P00159,1,5.95,5.95,False,mobile
T00000192,2023-08-18 10:08:56,C000497,S0020,P00069,1,4.49,4.49,True,mobile
T00000193,2023-08-10 00:28:05,C000180,S0007,P00038,1,21.18,21.18,False,card
T00000194,2023-05-12 16:47:42,C000289,S0014,P00185,1,12.73,12.73,True,card
T00000195,2023-12-16 07:52:28,C000187,S0014,P00163,2,32.04,64.08,False,cash
T00000196,2023-02-01 21:42:34,C000122,S0008,P00181,1,8.86,8.86,False,card
T00000197,2023-05-05 16:52:23,C000231,S0004,P00146,3,7.88,23.64,False,insurance
T00000198,2023-02-12 22:53:58,C000006,S0013,P00119,1,6.83,6.83,False,card
T00000199,2023-05-04 09:00:47,C000347,S0004,P00162,5,2.11,10.55,True,cash
T00000200,2023-12-17 03:08:17,C000439,S0001,P00111,1,6.72,6.72,False,card
T00000201,2023-05-14 07:40:42,C000171,S0001,P00089,1,3.2,3.2,False,insurance
T00000202,2023-11-27 17:21:40,C000407,S0018,P00020,1,2.5,2.5,True,cash
T00000203,2023-06-30 04:53:37,C000372,S0012,P00193,1,38.82,38.82,False,insurance
T00000204,2023-09-12 16:38:30,C000290,S0010,P00052,1,3.34,3.34,False,mobile
T00000205,2023-06-16 11:59:57,C000321,S0018,P00102,2,1.75,3.5,False,insurance
T00000206,2023-04-07 18:38:24,C000495,S0013,P00161,1,10.71,10.71,False,insurance
T00000207,2023-10-06 04:18:31,C000470,S0002,P00126,1,7.08,7.08,False,insurance
T00000208,2023-12-19 18:43:30,C000334,S0011,P00031,1,2.39,2.39,False,insurance
T00000209,2023-04-06 22:09:11,C000135,S0005,P00194,1,3.16,3.16,False,card
T00000210,2023-10-11 11:10:05,C000144,S0012,P00129,1,24.52,24.52,False,mobile
T00000211,2023-04-06 01:19:08,C000351,S0012,P00083,10,18.03,180.3,False,insurance
T00000212,2023-09-18 22:45:10,C000103,S0016,P00066,2,6.01,12.02,False,mobile
T00000213,2023-10-15 04:45:41,C000134,S0013,P00131,2,7.17,14.34,False,mobile
T00000214,2023-06-13 13:37:19,C000218,S0004,P00038,3,22.97,68.91,False,mobile
T00000215,2023-09-26 05:43:47,C000451,S0005,P00057,1,14.93,14.93,False,cash
T00000216,2023-04-10 02:18:08,C000316,S0006,P00125,3,3.49,10.47,True,insurance
T00000217,2023-01-29 20:21:31,C000066,S0009,P00139,3,3.94,11.82,False,card
T00000218,2023-02-05 02:04:17,C000131,S0002,P00101,1,7.75,7.75,True,mobile
T00000219,2023-06-12 17:11:57,C000366,S0018,P00123,1,1.49,1.49,False,insurance
T00000220,2023-11-25 13:08:05,C000060,S0003,P00184,1,4.67,4.67,True,insurance
T00000221,2023-02-16 10:30:41,C000268,S0007,P00110,1,8.43,8.43,False,cash
T00000222,2023-06-15 21:39:42,C000074,S0015,P00138,1,1.37,1.37,False,insurance
T00000223,2023-09-14 06:25:27,C000012,S0019,P00103,1,10.01,10.01,False,mobile
T00000224,2023-03-15 15:50:47,C000415,S0013,P00171,1,16.32,16.32,False,insurance
T00000225,2023-09-20 16:02:27,C000049,S0017,P00007,4,10.0,40.0,False,insurance
T00000226,2023-04-22 08:50:13,C000003,S0018,P00192,1,14.58,14.58,False,card
T00000227,2023-10-22 08:27:37,C000485,S0001,P00200,2,7.69,15.38,False,mobile
T00000228,2023-07-30 20:03:44,C000156,S0006,P00070,1,2.64,2.64,False,cash
T00000229,2023-07-19 01:46:55,C000335,S0003,P00136,3,4.48,13.44,False,insurance
T00000230,2023-03-06 08:17:13,C000214,S0019,P00020,3,3.62,10.86,False,insurance
T00000231,2023-06-18 14:34:01,C000350,S0015,P00114,4,16.3,65.2,False,cash
T00000232,2023-11-08 19:22:57,C000130,S0017,P00022,1,6.47,6.47,False,cash
T00000233,2023-01-08 02:33:41,C000340,S0011,P00112,1,5.49,5.49,True,card
T00000234,2023-10-04 02:25:36,C000486,S0003,P00190,1,7.51,7.51,False,card
T00000235,2023-06-29 08:46:20,C000169,S0004,P00003,1,4.77,4.77,True,mobile
T00000236,2023-09-19 21:13:42,C000014,S0011,P00013,1,2.05,2.05,False,mobile
T00000237,2023-08-30 10:34:17,C000195,S0017,P00129,1,23.18,23.18,False,insurance
T00000238,2023-06-07 06:45:53,C000041,S0001,P00140,1,11.75,11.75,False,insurance
T00000239,2023-04-23 08:31:00,C000133,S0016,P00038,5,22.94,114.7,False,cash
T00000240,2023-08-17 08:10:12,C000009,S0013,P00083,4,18.03,72.12,False,cash
T00000241,2023-02-21 00:59:57,C000450,S0014,P00066,1,6.94,6.94,False,mobile
T00000242,2023-08-01 14:40:48,C000209,S0001,P00143,1,5.14,5.14,False,cash
T00000243,2023-02-04 11:15:10,C000119,S0016,P00199,1,10.56,10.56,False,cash
T00000244,2023-08-25 13:03:36,C000345,S0017,P00162,1,3.0,3.0,False,card
T00000245,2023-08-17 20:43:08,C000062,S0013,P00185,1,17.19,17.19,False,cash
T00000246,2023-01-31 17:42:20,C000187,S0011,P00021,1,8.02,8.02,False,card
T00000247,2023-10-03 17:24:52,C000066,S0011,P00012,1,6.89,6.89,True,card
T00000248,2023-06-01 08:29:36,C000233,S0012,P00033,1,6.5,6.5,False,mobile
T00000249,2023-10-14 10:14:25,C000133,S0014,P00181,1,8.89,8.89,False,card
T00000250,2023-01-16 03:32:29,C000339,S0007,P00108,4,2.75,11.0,False,cash
T00000251,2023-03-07 07:43:55,C000031,S0015,P00180,1,10.85,10.85,False,card
T00000252,2023-06-29 19:30:14,C000285,S0005,P00041,1,19.04,19.04,False,cash
T00000253,2023-03-10 12:20:06,C000060,S0002,P00174,1,5.8,5.8,False,mobile
T00000254,2023-05-01 01:40:03,C000212,S0019,P00193,1,38.75,38.75,False,insurance
T00000255,2023-08-29 10:59:36,C000086,S0003,P00011,1,5.82,5.82,False,card
T00000256,2023-02-22 14:33:48,C000279,S0004,P00086,2,1.56,3.12,True,cash
T00000257,2023-09-04 16:24:47,C000320,S0001,P00019,1,3.28,3.28,False,mobile
T00000258,2023-02-07 15:19:42,C000372,S0001,P00118,1,5.78,5.78,False,cash
T00000259,2023-03-05 18:25:03,C000023,S0014,P00107,4,0.62,2.48,False,cash
T00000260,2023-08-02 21:39:47,C000191,S0003,P00096,2,6.29,12.58,False,insurance
T00000261,2023-10-16 19:52:11,C000317,S0010,P00109,1,1.3,1.3,False,cash
T00000262,2023-03-04 02:18:00,C000260,S0002,P00107,1,0.62,0.62,False,mobile
T00000263,2023-04-20 04:44:13,C000040,S0009,P00099,2,21.78,43.56,True,insurance
T00000264,2023-12-03 17:50:58,C000193,S0003,P00018,1,3.48,3.48,True,insurance
T00000265,2023-12-27 05:52:37,C000181,S0004,P00133,1,8.79,8.79,False,insurance
T00000266,2023-07-31 12:09:00,C000361,S0009,P00027,1,6.43,6.43,False,mobile
T00000267,2023-06-12 17:19:31,C000298,S0020,P00194,1,3.23,3.23,False,insurance
T00000268,2023-05-07 06:15:16,C000336,S0018,P00082,1,6.55,6.55,False,mobile
T00000269,2023-08-11 22:22:48,C000407,S0005,P00196,4,7.66,30.64,False,card
T00000270,2023-08-04 02:14:16,C000319,S0013,P00192,4,14.05,56.2,False,cash
T00000271,2023-04-18 06:57:45,C000337,S0008,P00081,1,8.46,8.46,False,insurance
T00000272,2023-01-09 07:12:52,C000002,S0016,P00141,5,3.08,15.4,False,insurance
T00000273,2023-02-25 03:29:21,C000396,S0008,P00105,4,4.13,16.52,False,insurance
T00000274,2023-12-15 21:58:24,C000119,S0010,P00048,3,14.55,43.65,False,insurance
T00000275,2023-06-02 05:00:05,C000095,S0004,P00003,1,5.32,5.32,False,card
T00000276,2023-06-25 13:24:10,C000017,S0007,P00147,1,7.09,7.09,False,mobile
T00000277,2023-06-20 00:39:06,C000236,S0019,P00095,1,3.37,3.37,False,mobile
T00000278,2023-10-12 21:58:30,C000266,S0005,P00090,5,6.65,33.25,False,mobile
T00000279,2023-01-24 15:27:38,C000091,S0017,P00178,1,4.32,4.32,False,card
T00000280,2023-01-31 02:43:45,C000210,S0019,P00179,1,1.73,1.73,True,insurance
T00000281,2023-04-11 09:48:05,C000487,S0015,P00061,2,7.44,14.88,False,card
T00000282,2023-06-27 03:26:50,C000425,S0013,P00006,1,5.39,5.39,False,insurance
T00000283,2023-09-02 06:56:23,C000262,S0010,P00191,2,6.8,13.6,False,cash
T00000284,2023-06-28 14:48:59,C000093,S0001,P00100,1,9.02,9.02,True,insurance
T00000285,2023-06-10 14:02:40,C000238,S0019,P00125,1,4.52,4.52,False,mobile
T00000286,2023-12-08 08:51:07,C000145,S0003,P00014,10,3.35,33.5,False,mobile
T00000287,2023-02-28 14:39:41,C000337,S0007,P00027,1,7.04,7.04,False,mobile
T00000288,2023-07-28 02:36:59,C000479,S0006,P00146,1,8.35,8.35,False,mobile
T00000289,2023-07-17 09:02:58,C000451,S0009,P00165,5,7.04,35.2,False,insurance
T00000290,2023-06-22 08:24:12,C000174,S0004,P00149,3,7.29,21.87,False,mobile
T00000291,2023-10-21 23:10:17,C000136,S0006,P00188,1,2.02,2.02,False,card
T00000292,2023-04-08 04:17:58,C000391,S0003,P00189,1,7.53,7.53,False,card
T00000293,2023-12-14 04:09:35,C000325,S0017,P00165,2,6.51,13.02,False,insurance
T00000294,2023-05-01 16:35:12,C000095,S0010,P00041,10,18.92,189.2,False,mobile
T00000295,2023-07-18 09:09:33,C000324,S0011,P00190,3,6.44,19.32,False,card
T00000296,2023-07-09 12:35:39,C000254,S0019,P00050,2,16.68,33.36,False,mobile
T00000297,2023-11-06 07:39:35,C000309,S0014,P00095,1,3.33,3.33,False,cash
T00000298,2023-06-09 18:19:50,C000382,S0018,P00116,5,6.79,33.95,False,card
T00000299,2023-04-14 13:54:25,C000046,S0005,P00071,3,6.01,18.03,False,cash
T00000300,2023-01-08 20:48:11,C000369,S0002,P00093,1,5.19,5.19,False,card
T00000301,2023-05-13 09:05:35,C000051,S0006,P00008,1,37.28,37.28,False,insurance
T00000302,2023-10-28 18:29:11,C000197,S0020,P00041,1,13.16,13.16,True,mobile
T00000303,2023-01-04 14:37:40,C000088,S0005,P00184,4,5.69,22.76,False,insurance
T00000304,2023-11-23 04:51:38,C000243,S0018,P00047,3,4.36,13.08,False,cash
T00000305,2023-07-17 14:08:15,C000297,S0018,P00189,2,8.92,17.84,False,insurance
T00000306,2023-02-21 01:12:57,C000114,S0002,P00019,2,2.15,4.3,True,insurance
T00000307,2023-04-20 23:50:19,C000058,S0009,P00045,1,4.88,4.88,False,cash
